sample_names,mean,median,sd,quantile0.025,quantile0.975
1802048510,2,2,0,2,2
2209006880,2,2,0,2,2
1809035834,2,2,0.43265,2,3
1608067466,2,2,0,2,2
1611043868,2,2,0,2,2
2210099475,2,2,0,2,2
1606075955,2,2,0,2,2
1709071376,2,2,0,2,2
1808048111,2,2,0,2,2
1801078217,2,2,0,2,2
1609059345,2,2,0,2,2
2208032235,2,2,0,2,2
2104119297,2,2,0,2,2
2206090080,2,2,0,2,2
1709020121,2,2,0,2,2
1906076269,2,2,0,2,2
1609034352,2,2,0.05472,2,2
1811059447,2,2,0,2,2
1707080473,2,2,0,2,2
1610061800,2,2,0,2,2
1708062336,2,2,0,2,2
2010121936,2,2,0,2,2
1707083372,2,2,0,2,2
1611068118,2,2,0,2,2
1709071363,2,2,0.47223,2,3
1810063737,2,2,0,2,2
1808090263,2,2,0,2,2
1908036412,2,2,0,2,2
2207102201,2,2,0,2,2
1908002285,2,2,0,2,2
1810021725,2,2,0,2,2
2207003507,2,2,0,2,2
1609027170,2,2,0,2,2
1808019963,2,2,0,2,2
2301112566,2,2,0,2,2
2001003220,2,2,0,2,2
1810017378,2,2,0,2,2
1807086823,2,2,0,2,2
2106040412,2,2,0,2,2
1707073134,2,2,0,2,2
1606064706,2,2,0,2,2
1810035980,2,2,0,2,2
1902032875,2,2,0,2,2
2207060580,2,2,0,2,2
2103070502,2,2,0,2,2
1707075931,2,2,0.12161,2,2
1708017145,2,2,0,2,2
1705100214,2,2,0.08913,2,2
2208006798,2,2,0,2,2
1810090076,2,2,0,2,2
1811017050,2,2,0,2,2
1709078535,2,2,0,2,2
1909090321,2,2,0,2,2
1808061313,2,2,0,2,2
2301095711,2,2,0,2,2
1608046309,2,2,0,2,2
2107073452,2,2,0,2,2
1701031127,2,2,0,2,2
1708070993,2,2,0,2,2
2204080654,2,2,0,2,2
1605017925,2,2,0,2,2
1804035110,2,2,0,2,2
1801014157,2,2,0,2,2
1803031004,2,2,0,2,2
